S1,S2,S3,S4,S5,S6,S7,S8
111.47708123750267,26.99473303537579,33.877500601497154,68.84844953323764,133.026214596957,175.42836144617976,45.101817866172624,92.11000061035156
110.069509575834,26.737724480951847,34.196258964285995,69.12334180578533,129.0684834101902,170.14011418951148,44.70405442169798,92.0999984741211
119.49222760686627,29.520503087723494,36.77895474917092,73.08526777670674,133.3521134874589,171.87739747498267,46.548264903993015,91.33000183105469
119.73881814867303,29.1748740460282,36.94241561060272,74.4517434501687,135.5405355847358,174.43561414562603,47.41612493451358,95.9800033569336
118.51474277290626,28.439301233543272,36.811652462501456,72.05840156543358,135.95956841234613,168.56510245958762,46.36746137322528,94.02999877929688
122.79457291137668,29.617986669556366,38.789544382553586,74.92070097299272,136.42517055286257,168.9087406518323,46.9189085417848,97.86000061035156
122.0460509349956,29.626843057156652,39.66405851079875,75.35729013731698,134.87000365835152,167.03782674122743,53.789505309127456,93.01000213623047
123.71921938214214,29.67116030259705,39.63954114447739,75.95565164824971,133.78051294366162,167.97325696119518,52.840276131461685,91.7699966430664
121.02451608449185,29.502777346603573,39.974628642072986,76.18204962822932,130.89366339028928,162.58958450658946,53.20188872416388,90.75
123.16444589363658,28.802649107573878,39.598676609624974,75.59986195890008,131.29413015638957,169.4242181084534,52.37921919860361,89.55999755859375
121.36796463608445,29.0330716026251,40.13810404897197,76.81270835754681,130.72603991514026,166.694181212729,52.65043398325351,90.55000305175781
119.49224093954487,28.66085656176887,40.31790474357536,75.89094365530242,132.61644668471268,165.02370631820398,53.373647667305804,89.33999633789062
116.85033439902419,27.79234417368957,38.42175416020671,73.09335236596027,131.38723785116207,162.5132138463128,53.2018867375021,94.41999816894531
116.36599733676431,27.712579660123595,38.33184814453125,73.27123291761771,129.43159471621303,157.7213404499364,50.968953417643846,94.13999938964844
116.90317231298677,27.82779540252388,38.62606972358587,74.54873356824487,128.28623448439836,161.01452667832126,49.97452112375023,94.91000366210938
114.12039643514545,26.86179588273617,36.77895279616899,70.77279919464691,123.12721574983453,152.98675231455422,49.36882253496453,91.0999984741211
114.3933934895444,26.959284672215745,37.54722617333533,71.69454614188828,123.25758114649449,154.55221655174944,49.53154654544956,89.83000183105469
115.52940152325041,26.941560750574386,37.22847516413133,70.20681080760431,124.73825851276854,152.67174014466872,50.6073346960304,87.55999755859375
113.95308113377823,26.471857023124713,37.25300119217916,69.52761274632243,126.06061400901835,155.03904314848867,50.5802182808883,86.83000183105469
116.18987762769669,27.101084584917142,37.440985118650865,71.16089951142213,127.63440626065467,158.96224591449985,51.70120236258362,88.48999786376953
117.695735115014,27.393538297876443,37.29386819423377,70.38470243959803,130.09279825254478,157.86451225705488,52.334020957219956,88.5999984741211
119.29847945143077,28.182283130290138,39.13280873632477,72.3737446962152,129.95311718959758,156.36586535080608,52.39703145475389,88.22000122070312
122.75054449092184,29.14828371673491,40.1953054866779,72.72142551847911,131.62001235010476,158.89545317713765,53.66124347590387,88.1500015258789
121.70260804192789,28.740623224698016,41.61742958813343,73.00439369926033,135.16801465198307,162.86640111184948,53.097355304805134,88.30999755859375
122.7857370230535,29.219188817029224,42.11639796295974,73.65934739577459,133.72466212963474,164.39367502644694,53.45206515145731,91.38999938964844
123.28772922871991,29.35212267735144,42.083147628811155,73.88573550798885,132.65368825108624,165.13822692062087,53.93409695716117,91.5
122.98830311958424,29.21918087321692,42.29925093565015,74.68619731256196,133.1658890041572,168.4887146709024,53.752191104107546,92.9000015258789
122.45112824595773,29.24576899532394,41.085728549357036,74.00701961458493,133.26832785846307,169.79648489226585,55.116467001215874,92.75
126.4139557904947,30.11427732475247,43.18863023333497,76.29951833525057,133.51047680632016,171.14240107279429,56.3897848674437,93.9000015258789
126.76618682921713,30.16745704905696,43.51278794314887,78.24286296561338,131.58283327668138,167.5723614394612,55.92592770365049,90.55999755859375
